Incidents,2011,2012,2013
Murder – 1 Degree,--,1,3
Murder – 2 Degree,2,1,3
Manslaughter,--,--,--
Criminal Negligence Cause Death,2,--,--
Murder – Attempt,4,4,3
Sexual Assault – Aggravated,2,1,--
Sexual Assault – Weapons/Bodily Harm,4,3,6
Sexual Assault,241,310,231
Sexual Interference,70,96,15
Invitation To Sexual Touching,27,54,3
Sexual Exploitation,8,11,2
Incest,--,2,--
Anal Intercourse,4,6,--
Voyeurism,3,8,5
Lure Child Via Computer,10,10,13
Assault – Aggravated,38,33,21
Assault – Weapon or Cause Bodily Harm,415,434,250
Assault,"1,372","1,384","1,296"
Assault – Police/Peace Officer,82,87,62
Assault – Police/Peace Officer -Weapon,7,2,--
Criminal Negligence Cause Bodily Harm,2,3,1
Assault – Other,22,14,13
Forcible Confinement,35,33,12
Firearm – Use During Offence,1,3,n/a
Firearm – Dangerous Pointing,7,9,n/a
Kidnapping,2,1,n/a
Abduction <14 No Parent/Guardian,--,2,n/a
Robbery – Use Firearm,26,23,n/a
Robbery – Use Other Offensive Weapon,33,57,n/a
Robbery – Other,123,126,n/a
Robbery,--,--,193
Extortion,8,11,7
Intimidate Justice System,4,3,4
Criminal Harassment/Stalking,153,210,61
Threats – Person Death/Harm,462,462,405
Harassing Phone Calls,437,568,10
Arson – Disregard Human Life,2,6,n/a
Mischief – Endanger Life,2,6,n/a
Abduction <14 No Parent/Guardian,n/a,n/a,1
Trafficking in Persons,n/a,n/a,2
Total,3610,3984,2622
