name,description,latitude,longitude,elevation
Garden Park / Carlisle Street Garage,"",-79.244106,43.159269,0.0
Ontario Street Garage,"",-79.2469598,43.1560682,0.0
St. Paul Street / Westchester Lot,"",-79.245157,43.155418,0.0
Garden Park Lot,"",-79.244481,43.15890900000001,0.0
Central Library Lot,"",-79.24586,43.1604509,0.0
Market Square Lot,"",-79.2467023,43.1586834,0.0
William Street Lot,"",-79.2486335,43.1572613,0.0
Garden City Arena Complex Lot,"",-79.23947100000001,43.160052,0.0
Riordon Lot,"",-79.238001,43.16092,0.0
Head Street Lot,"",-79.241,43.159015,0.0
King Street Lot,"",-79.244653,43.159965,0.0
Meridian Centre Lot,"",-79.2438504,43.156439,0.0
